Epoch [42/4000], Loss_train: 99.2520, PSNR_train: 32.4541, Loss_valid: 53.5890, PSNR_valid: 32.1207, Time_cost: 16.75 seconds
Epoch [43/4000], Loss_train: 90.1453, PSNR_train: 32.4839, Loss_valid: 53.4635, PSNR_valid: 32.1383, Time_cost: 17.10 seconds
Epoch [44/4000], Loss_train: 93.8534, PSNR_train: 32.8250, Loss_valid: 53.3426, PSNR_valid: 32.1553, Time_cost: 17.03 seconds
Epoch [45/4000], Loss_train: 86.7908, PSNR_train: 32.8108, Loss_valid: 53.2245, PSNR_valid: 32.1717, Time_cost: 16.83 seconds
Epoch [46/4000], Loss_train: 90.5169, PSNR_train: 32.9011, Loss_valid: 53.1111, PSNR_valid: 32.1871, Time_cost: 16.97 seconds
Epoch [47/4000], Loss_train: 95.7510, PSNR_train: 32.8195, Loss_valid: 53.0026, PSNR_valid: 32.2018, Time_cost: 16.63 seconds
Epoch [48/4000], Loss_train: 94.0647, PSNR_train: 32.6180, Loss_valid: 52.8987, PSNR_valid: 32.2159, Time_cost: 16.77 seconds
Epoch [49/4000], Loss_train: 89.7855, PSNR_train: 32.8675, Loss_valid: 52.7989, PSNR_valid: 32.2293, Time_cost: 16.99 seconds
Epoch [50/4000], Loss_train: 87.9878, PSNR_train: 32.6968, Loss_valid: 52.7003, PSNR_valid: 32.2422, Time_cost: 16.99 seconds
Epoch [51/4000], Loss_train: 85.3443, PSNR_train: 33.2254, Loss_valid: 52.6028, PSNR_valid: 32.2550, Time_cost: 16.99 seconds
Epoch [52/4000], Loss_train: 96.9391, PSNR_train: 32.7233, Loss_valid: 52.5105, PSNR_valid: 32.2668, Time_cost: 16.81 seconds
Epoch [53/4000], Loss_train: 93.4212, PSNR_train: 32.8963, Loss_valid: 52.4172, PSNR_valid: 32.2785, Time_cost: 16.73 seconds
Epoch [54/4000], Loss_train: 91.0704, PSNR_train: 33.0173, Loss_valid: 52.3299, PSNR_valid: 32.2898, Time_cost: 16.84 seconds
Epoch [55/4000], Loss_train: 92.3422, PSNR_train: 32.7342, Loss_valid: 52.2439, PSNR_valid: 32.3007, Time_cost: 16.79 seconds
Epoch [56/4000], Loss_train: 88.2022, PSNR_train: 33.1178, Loss_valid: 52.1593, PSNR_valid: 32.3114, Time_cost: 16.90 seconds
Epoch [57/4000], Loss_train: 87.5680, PSNR_train: 33.2145, Loss_valid: 52.0750, PSNR_valid: 32.3221, Time_cost: 17.19 seconds
Epoch [58/4000], Loss_train: 85.9552, PSNR_train: 33.3723, Loss_valid: 51.9880, PSNR_valid: 32.3326, Time_cost: 16.97 seconds
Epoch [59/4000], Loss_train: 92.6375, PSNR_train: 32.8168, Loss_valid: 51.9063, PSNR_valid: 32.3428, Time_cost: 17.03 seconds
Epoch [60/4000], Loss_train: 89.5173, PSNR_train: 33.0769, Loss_valid: 51.8269, PSNR_valid: 32.3524, Time_cost: 17.09 seconds
Epoch [61/4000], Loss_train: 81.5396, PSNR_train: 33.3290, Loss_valid: 51.7503, PSNR_valid: 32.3620, Time_cost: 16.92 seconds
Epoch [62/4000], Loss_train: 82.6979, PSNR_train: 33.5871, Loss_valid: 51.6756, PSNR_valid: 32.3712, Time_cost: 16.95 seconds
Epoch [63/4000], Loss_train: 84.4684, PSNR_train: 33.4770, Loss_valid: 51.6023, PSNR_valid: 32.3801, Time_cost: 16.91 seconds
Epoch [64/4000], Loss_train: 87.7525, PSNR_train: 33.3184, Loss_valid: 51.5261, PSNR_valid: 32.3894, Time_cost: 16.93 seconds
Epoch [65/4000], Loss_train: 86.0625, PSNR_train: 33.2546, Loss_valid: 51.4533, PSNR_valid: 32.3982, Time_cost: 16.81 seconds
Epoch [66/4000], Loss_train: 82.8926, PSNR_train: 33.4149, Loss_valid: 51.3822, PSNR_valid: 32.4067, Time_cost: 16.95 seconds
Epoch [67/4000], Loss_train: 98.4227, PSNR_train: 33.0725, Loss_valid: 51.3077, PSNR_valid: 32.4156, Time_cost: 16.75 seconds
